,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
16453,20150430-M-Istanbul-R16-Denis_Istomin-Thomaz_Bellucci,Thomaz Bellucci,Total,71,25,61,25,56,25,0,334,20150430,M,Istanbul,R16
16474,20150430-M-Munich-R16-Fabio_Fognini-Dominic_Thiem,Fabio Fognini,Total,47,20,36,20,35,20,1,193,20150430,M,Munich,R16
16494,20150430-M-Munich-R16-Fabio_Fognini-Dominic_Thiem,Dominic Thiem,Total,50,31,42,29,42,29,1,201,20150430,M,Munich,R16
16515,20150501-M-Estoril-QF-Richard_Gasquet-Nicolas_Almagro,Richard Gasquet,Total,58,24,49,22,47,22,0,264,20150501,M,Estoril,QF
16533,20150501-M-Estoril-QF-Richard_Gasquet-Nicolas_Almagro,Nicolas Almagro,Total,68,21,56,18,49,18,0,344,20150501,M,Estoril,QF
16551,20150502-M-Istanbul-SF-Grigor_Dimitrov-Pablo_Cuevas,Grigor Dimitrov,Total,49,18,39,18,38,18,0,263,20150502,M,Istanbul,SF
16572,20150502-M-Istanbul-SF-Grigor_Dimitrov-Pablo_Cuevas,Pablo Cuevas,Total,57,30,45,29,45,29,0,262,20150502,M,Istanbul,SF
16592,20150502-M-Istanbul-SF-Roger_Federer-Diego_Schwartzman,Roger Federer,Total,102,42,93,41,86,41,2,495,20150502,M,Istanbul,SF
16613,20150502-M-Istanbul-SF-Roger_Federer-Diego_Schwartzman,Diego Schwartzman,Total,83,26,63,25,56,25,1,314,20150502,M,Istanbul,SF
16634,20150502-M-Munich-QF-Andy_Murray-Lukas_Rosol,Andy Murray,Total,100,45,81,42,78,42,2,460,20150502,M,Munich,QF
16655,20150502-M-Munich-QF-Andy_Murray-Lukas_Rosol,Lukas Rosol,Total,78,28,60,28,56,28,6,332,20150502,M,Munich,QF
16676,20150502-M-Munich-QF-Philipp_Kohlschreiber-David_Goffin,Philipp Kohlschreiber,Total,69,23,51,22,49,22,2,301,20150502,M,Munich,QF
16697,20150502-M-Munich-QF-Philipp_Kohlschreiber-David_Goffin,David Goffin,Total,76,26,56,25,54,25,0,367,20150502,M,Munich,QF
