,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
75962,20210514-M-Rome_Masters-QF-Reilly_Opelka-Federico_Delbonis,Reilly Opelka,Total,42,10,27,12,6,2,4,0,0,20210514,M,Rome_Masters,QF
75980,20210514-M-Rome_Masters-QF-Reilly_Opelka-Federico_Delbonis,Federico Delbonis,Total,38,10,24,12,2,1,1,0,0,20210514,M,Rome_Masters,QF
75998,20210515-M-Rome_Masters-SF-Novak_Djokovic-Lorenzo_Sonego,Novak Djokovic,Total,72,7,63,7,2,0,2,0,0,20210515,M,Rome_Masters,SF
76016,20210515-M-Rome_Masters-SF-Novak_Djokovic-Lorenzo_Sonego,Lorenzo Sonego,Total,76,11,61,6,4,1,2,1,0,20210515,M,Rome_Masters,SF
76033,20210522-M-Lyon-SF-Stefanos_Tsitsipas-Lorenzo_Musetti,Stefanos Tsitsipas,Total,59,17,38,11,0,0,0,0,0,20210522,M,Lyon,SF
76050,20210522-M-Lyon-SF-Stefanos_Tsitsipas-Lorenzo_Musetti,Lorenzo Musetti,Total,54,11,42,12,1,0,1,0,0,20210522,M,Lyon,SF
76068,20210513-M-Rome_Masters-R16-Roberto_Bautista_Agut-Andrey_Rublev,Roberto Bautista Agut,Total,47,0,0,0,2,0,2,0,0,20210513,M,Rome_Masters,R16
76086,20210513-M-Rome_Masters-R16-Roberto_Bautista_Agut-Andrey_Rublev,Andrey Rublev,Total,54,0,0,0,6,4,2,0,0,20210513,M,Rome_Masters,R16
76104,20210523-M-Lyon-F-Stefanos_Tsitsipas-Cameron_Norrie,Stefanos Tsitsipas,Total,38,6,29,9,3,1,2,0,0,20210523,M,Lyon,F
76122,20210523-M-Lyon-F-Stefanos_Tsitsipas-Cameron_Norrie,Cameron Norrie,Total,32,6,21,4,5,1,3,1,0,20210523,M,Lyon,F
76139,20140301-M-Acapulco-F-Grigor_Dimitrov-Kevin_Anderson,Grigor Dimitrov,Total,76,13,60,5,3,1,2,0,0,20140301,M,Acapulco,F
76157,20140301-M-Acapulco-F-Grigor_Dimitrov-Kevin_Anderson,Kevin Anderson,Total,79,11,62,5,6,3,2,1,0,20140301,M,Acapulco,F
76175,20120805-M-Washington-F-Tommy_Haas-Alexandr_Dolgolopov,Tommy Haas,Total,74,16,48,10,10,5,5,0,0,20120805,M,Washington,F
76193,20120805-M-Washington-F-Tommy_Haas-Alexandr_Dolgolopov,Alexandr Dolgolopov,Total,57,13,38,6,6,3,1,2,0,20120805,M,Washington,F
76211,20110220-M-Memphis-F-Andy_Roddick-Milos_Raonic,Andy Roddick,Total,76,23,49,6,4,2,1,0,1,20110220,M,Memphis,F
